image_ID,Xs,Ys,Zs,OMEGA,PHI,KAPPA
265,442993.5109,4551796.8886,2927.3071,0.5256,1.1615,107.5265
266,442817.7618,4552331.0451,2926.8062,-0.0807,-0.0877,108.5822
267,442634.5276,4552876.8993,2927.0818,-0.0716,-0.1106,108.1340
268,442459.4355,4553410.6111,2927.6621,-0.0614,-0.0893,108.4004
269,442257.0707,4554017.6881,2933.5329,-0.0656,-0.0785,108.1707
270,442053.7451,4554653.7272,2930.1887,-0.0654,-0.0847,107.5447
271,441856.0739,4555285.2604,2936.7218,-0.0574,-0.0681,106.9739
272,441669.2106,4555893.1858,2933.3687,-0.0589,-0.0867,107.7135
273,441483.8673,4556467.5998,2938.3327,-0.0257,-0.0705,107.4649
274,441306.5490,4557033.6693,2933.0051,-0.0455,-0.0488,107.6043
275,441128.4604,4557590.7852,2937.5236,-0.0515,-0.0548,107.5521
276,440937.8106,4558190.9418,2932.5996,-0.0585,-0.0507,107.6646
277,440735.3071,4558813.9529,2938.1858,-0.0416,-0.0740,108.0663
278,440533.7834,4559432.5410,2929.8697,-0.0612,-0.0476,108.0510
279,440330.4808,4560043.9098,2934.6094,-0.0743,-0.0476,108.5554
280,440120.2015,4560668.5185,2928.2897,-0.0698,-0.0593,108.4708

